nome,valor,cst,taxa,ncm
MOTOR DE PARTIDA CB 300 09-15 XRE 300 10-20,162.23,500,0.19,85114000
MOTOR DE PARTIDA CG TITAN 150 04-15 BROS 150 06-14,135.79,500,0.19,85114000
MOTOR DE PARTIDA YBR 125 00-08 FACTOR 125 09-16 XTZ 125 03-16,77.40,500,0.19,85114000
MOTOR DE PARTIDA FAZER 150 14-21 XTZ 150 14-21 FACTOR 150 16-21 NMAX160 17-20,55.76,500,0.19,85114000
CABO DE ACELERADOR FAZER YS 250 ate 2010 A,30.28,500,0.19,87141000
CAIXA DE DIRECAO COLAR ESFERA NXR 125 150 BROS XRE 300 TORNADO 250 FALCON,49.38,500,0.19,84821090
BUZINA TWISTER,9.24,500,0.19,85123000
DISCO DE FREIO FAZER 250 DIANTEIRO,41.02,500,0.19,87149490
DISCO DE FREIO CB 300/TWISTER/CB 250 DIANTEIRO,52.24,500,0.19,87149490
DISCO DE FREIO TITAN 00-04 ES BROS 160 DIANTEIRO FP,82.04,500,0.19,87149490
DISCO DE FREIO YES 125 DIANTEIRO,41.02,500,0.19,87149490
CHAVE DE LUZ CB 300R,49.04,500,0.19,85365090
CHAVE DE IGNICAO CB 300 09-15,54.30,500,0.19,85118090
MOTOR DE PARTIDA CB 300 09-15 XRE 300 10-20,180.25,500,0.19,85114000
PASTILHA DE FREIO DIANT TWISTER CB 300R FAZER 250 YBR 00/08,51.57,500,0.19,68138110
PASTILHA DE FREIO DIANT BROS 160 CBS BIZ 125 2017 XRE 190 PCX 2019,57.77,500,0.19,68138110

