CÓDIGO DO,Unnamed: 0,Unnamed: 1,CST,Unnamed: 2,Unnamed: 3,Unnamed: 4,VALOR,VALOR.1,DESCONTO,BASE,VALOR.2,VALOR.3,ALÍQUOTAS
22021170003,ADESIVO REFLETIVO CAPACETE ( JOGO 4,87141000,60.0,5405,JG,"4,0000","2,7314","10,93","0,33","0,00","0,00","0,00","0,00 0,00"
,PECAS ),,,,,,,,,,,,
22173550003,AGULHA BOIA STRADA NX XR COM SEDE,87141000,60.0,5405,JG,"1,0000","21,0945","21,09","0,63","0,00","0,00","0,00","0,00 0,00"
,SOB MEDIDA 9.95M,,,,,,,,,,,,
22031830006,AGULHA BOIA SUZUKI YES ( COM SEDE ),84099113,60.0,5405,JG,"2,0000","14,3892","28,78","0,86","0,00","0,00","0,00","0,00 0,00"
22009000004,AGULHA BOIA TITAN ( 1982/1990 ) TITAN 150,84099190,60.0,5405,PC,"1,0000","7,2456","7,25","0,22","0,00","0,00","0,00","0,00 0,00"
22077190001,AGULHA BOIA YBR FACTOR ( COM SEDE ),87141000,260.0,5405,PC,"2,0000","9,7049","19,41","0,58","0,00","0,00","0,00","0,00 0,00"
22073140008,AGULHA BOIA YBR XTZ ( COM SEDE ),84099190,260.0,5405,PC,"2,0000","7,5038","15,01","0,45","0,00","0,00","0,00","0,00 0,00"
22011070006,BOBINA FORCA BIZ DREAM SHINERAY,85118090,260.0,5405,PC,"2,0000","24,3122","48,62","1,46","0,00","0,00","0,00","0,00 0,00"
22061190005,BOBINA IGNICAO SHINERAY XY50Q,85113020,260.0,5405,PC,"2,0000","22,9615","45,92","1,38","0,00","0,00","0,00","0,00 0,00"
,PHOENIX PHOENIX +,,,,,,,,,,,,
22010550004,BORRACHA PEDAL PARTIDA HONDA,87141000,60.0,5405,PC,"10,0000","1,0805","10,81","0,32","0,00","0,00","0,00","0,00 0,00"
,YAMAHA,,,,,,,,,,,,
22015350003,BRACO ANCORAGEM CG TODAY TITAN,87141000,60.0,5405,PC,"2,0000","29,1896","58,38","1,75","0,00","0,00","0,00","0,00 0,00"
22148010009,BUCHA QUADRO ELASTICO BIZ DREAM,87141000,60.0,5405,PC,"2,0000","7,7539","15,51","0,47","0,00","0,00","0,00","0,00 0,00"
,POP SHINERAY,,,,,,,,,,,,
22194740006,BUCHA QUADRO ELASTICO CROSSER (,87141000,60.0,5405,PC,"1,0000","59,3297","59,33","1,78","0,00","0,00","0,00","0,00 0,00"
,BUCHA FERRO ),,,,,,,,,,,,
22079520007,BUCHA QUADRO ELASTICO FAZER 150 250,87141000,260.0,5405,JG,"1,0000","12,7564","12,76","0,38","0,00","0,00","0,00","0,00 0,00"
,( JOGO ),,,,,,,,,,,,
22008320005,BUCHA QUADRO ELASTICO XRE 300,87141000,60.0,5405,JG,"1,0000","33,2666","33,27","1,00","0,00","0,00","0,00","0,00 0,00"
,TORNADO ( ROLAMENTO,,,,,,,,,,,,
22130500004,CABO VELOCIMETRO SHINERAY JET,87089910,260.0,5405,PC,"2,0000","21,5358","43,07","1,29","0,00","0,00","0,00","0,00 0,00"
37000030006,CAMARA AR MOTO ( 3.00X18 ),40139000,260.0,5405,PC,"10,0000","16,1519","161,52","4,85","0,00","0,00","18,17","0,00 11,25"
,DIANTEIRA/TRASEIRA,,,,,,,,,,,,
22061760006,CDI SHINERAY JET 50 XY50Q PHOENIX ( 5,85118090,260.0,5405,PC,"1,0000","24,7124","24,71","0,74","0,00","0,00","0,00","0,00 0,00"
,PINOS ),,,,,,,,,,,,
31000210005,CILINDRO MESTRE SUPERIOR BIZ 125,87141000,260.0,5405,PC,"1,0000","58,3005","58,30","1,75","0,00","0,00","5,25","0,00 9,00"
,SHINERAY PHOENIX,,,,,,,,,,,,
22191470008,CONTRAPESO EMBREAGEM NEO 115 ( 6,87141000,260.0,5405,JG,"1,0000","27,5888","27,59","0,83","0,00","0,00","0,00","0,00 0,00"
,PECAS ),,,,,,,,,,,,
22008160008,CONTRAPESO EMBREAGEM PCX 150,87141000,260.0,5405,JG,"1,0000","32,4912","32,49","0,97","0,00","0,00","0,00","0,00 0,00"
22074630009,COXIM COROA CRYPTON SHINERAY,87141000,60.0,5405,PC,"8,0000","1,4032","11,23","0,34","0,00","0,00","0,00","0,00 0,00"
,TRAXX WEB,,,,,,,,,,,,
22171690002,DIAFRAGMA CARBURADOR FALCON (,87141000,60.0,5405,PC,"1,0000","18,5593","18,56","0,56","0,00","0,00","0,00","0,00 0,00"
,PISTONETE ),,,,,,,,,,,,
22020580003,DIAFRAGMA CARBURADOR TWISTER,87141000,260.0,5405,PC,"2,0000","8,7044","17,41","0,52","0,00","0,00","0,00","0,00 0,00"
,TORNADO,,,,,,,,,,,,
22171680007,DIAFRAGMA CARBURADOR TWISTER,87141000,60.0,5405,PC,"1,0000","9,7549","9,75","0,29","0,00","0,00","0,00","0,00 0,00"
,TORNADO,,,,,,,,,,,,
22027310001,DIAFRAGMA CARBURADOR TWISTER,87141000,260.0,5405,PC,"1,0000","37,7189","37,72","1,13","0,00","0,00","0,00","0,00 0,00"
,TORNADO,,,,,,,,,,,,
22073430006,DIAFRAGMA CARBURADOR YBR (,87141000,60.0,5405,PC,"1,0000","11,7559","11,76","0,35","0,00","0,00","0,00","0,00 0,00"
,VALVULA COMPENSADORA,,,,,,,,,,,,
38000010003,DISCO EMBREAGEM TRAXX JL50Q2,87141000,260.0,5405,JG,"1,0000","12,2596","12,26","0,37","0,00","0,00","1,10","0,00 9,00"
,SHINERAY WAVE 110 HUN,,,,,,,,,,,,
22080560009,ELASTICO REGULAVEL,56041000,60.0,5405,PC,"4,0000","3,0870","12,35","0,37","0,00","0,00","0,00","0,00 0,00"
22080570004,"ELASTICO REGULAVEL 2,00 METROS",56041000,60.0,5405,PC,"4,0000","4,4022","17,61","0,53","0,00","0,00","0,00","0,00 0,00"
22083860003,EMENDA CORRENTE ( 428 ) COM,87141000,260.0,5405,PC,"6,0000","9,0045","54,03","1,62","0,00","0,00","0,00","0,00 0,00"
,RETENTOR,,,,,,,,,,,,
22083870009,EMENDA CORRENTE ( 520 ) COM,87141000,260.0,5405,PC,"6,0000","10,8054","64,83","1,95","0,00","0,00","0,00","0,00 0,00"
,RETENTOR,,,,,,,,,,,,
